0;  5549876.IMA;  BL2F_;  LS;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
1;  5549894.IMA;  BL2F_;  LD;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
2;  5549912.IMA;  BL2F_;  LF;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
3;  5549930.IMA;  BL2F_;  Li;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
4;  5549948.IMA;  BL2F_;  L8;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
5;  5549966.IMA;  BL2F_;  LN;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
6;  5549984.IMA;  BL2F_;  LT;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
7;  5550002.IMA;  BL2F_;  LH;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
8;  5550020.IMA;  BL2F_;  Lo;  4;  6;  7;  1;  1;  132816390000;  15;  -45;  x;  x;  0
9;  5550524.IMA;  BL2F_;  LS;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
10; 5550542.IMA;  BL2F_;  LD;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
11; 5550560.IMA;  BL2F_;  LF;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
12; 5550578.IMA;  BL2F_;  Li;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
13; 5550596.IMA;  BL2F_;  L8;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
14; 5550614.IMA;  BL2F_;  LN;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
15; 5550632.IMA;  BL2F_;  LT;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
16; 5550650.IMA;  BL2F_;  LH;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
17; 5550668.IMA;  BL2F_;  Lo;  4;  6;  7;  1;  2;  132816475000;  15;  0;  x;  x;  0
18; 5550200.IMA;  BL2F_;  LS;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
19; 5550218.IMA;  BL2F_;  LD;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
20; 5550236.IMA;  BL2F_;  LF;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
21; 5550254.IMA;  BL2F_;  Li;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
22; 5550272.IMA;  BL2F_;  L8;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
23; 5550290.IMA;  BL2F_;  LN;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
24; 5550308.IMA;  BL2F_;  LT;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
25; 5550326.IMA;  BL2F_;  LH;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
26; 5550344.IMA;  BL2F_;  Lo;  4;  6;  7;  1;  3;  132816432500;  15;  45;  x;  x;  0
27; 5550038.IMA;  BL2F_;  LS;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
28; 5550056.IMA;  BL2F_;  LD;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
29; 5550074.IMA;  BL2F_;  LF;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
30; 5550092.IMA;  BL2F_;  Li;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
31; 5550110.IMA;  BL2F_;  L8;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
32; 5550128.IMA;  BL2F_;  LN;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
33; 5550146.IMA;  BL2F_;  LT;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
34; 5550164.IMA;  BL2F_;  LH;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
35; 5550182.IMA;  BL2F_;  Lo;  4;  6;  7;  1;  4;  132816410000;  35;  -45;  x;  x;  0
